Datapoints,Predicted,Real-Value
1,0.9258982,1
2,0.9427269,0.994989851
3,0.9508729,0.98918547
4,0.9545256,0.989164979
5,0.9552054,0.982897553
6,0.9878603,0.989466851
7,0.9919982,0.989074793
8,0.9558855,0.96730382
9,0.9529923,0.966997409
10,0.9533744,0.961624647
11,0.9524674,0.955909801
12,0.9546146,0.950579655
13,0.9528979,0.944943955
14,0.9538089,0.939347821
15,0.9472241,0.934030169
16,0.9379745,0.928199333
17,0.941266,0.922833824
18,0.9359629,0.917572458
19,0.9378103,0.917582059
20,0.9606445,0.972628107
21,0.9640826,0.961781435
22,0.9615509,0.95601586
23,0.9538041,0.945418647
24,0.9818144,0.956097476
25,0.9454117,0.934197815
26,0.9325428,0.923028308
27,0.9342938,0.917934273
28,0.92913,0.911900028
29,0.9178314,0.906581692
30,0.9517688,0.912491814
31,0.9589444,0.945679035
32,0.9578283,0.924776195
33,0.947598,0.91153266
34,0.938468,0.903658882
35,0.9250864,0.893483035
36,0.9322076,0.890995682
37,0.9214005,0.882950255
38,0.9088642,0.875041387
39,0.9032352,0.870132331
40,0.9006359,0.864952946
41,0.9027041,0.859951384
42,0.8979191,0.854645692
43,0.8772202,0.862105954
44,0.9112516,0.867639404
45,0.8833366,0.851843325
46,0.8698948,0.841789549
47,0.8654876,0.836425264
48,0.9261684,0.896027995
49,0.9399108,0.888367813
50,0.9186154,0.872465139
51,0.8932546,0.85722437
52,0.8884932,0.849592245
53,0.8743426,0.839226211
54,0.8718172,0.834060861
55,0.8610991,0.826429709
56,0.8543409,0.821228301
57,0.8437822,0.815962495
58,0.8365716,0.811227102
59,0.8368646,0.805829427
60,0.8260397,0.800456862
61,0.8089954,0.790458368
62,0.7993747,0.787842025
63,0.7981238,0.785604915
64,0.7928463,0.78003144
65,0.7969968,0.777744184
66,0.7695848,0.769964474
67,0.7647052,0.767118251
68,0.7555456,0.762119855
69,0.7490738,0.756962465
70,0.7300678,0.749415665
71,0.7358722,0.7517952
72,0.7294625,0.749092775
73,0.7209903,0.744126825
74,0.7146108,0.741592702
75,0.7055631,0.738942493
76,0.6957078,0.733794825
77,0.6901114,0.730901993
78,0.7419981,0.751859361
79,0.6999126,0.738981099
80,0.6818683,0.731455739
81,0.6698873,0.726306012
82,0.6752901,0.726395458
83,0.6775652,0.723818423
84,0.6664716,0.721018715
85,0.6500952,0.713213018
86,0.6423244,0.713357714
87,0.6400511,0.711011518
88,0.6442914,0.710866746
89,0.6417347,0.708321902
90,0.787545,0.78295938
91,0.7410925,0.759770882
92,0.7112494,0.744203614
93,0.6961668,0.736476649
94,0.6816246,0.728680628
95,0.6681489,0.723696398
96,0.6601017,0.718681975
97,0.6537281,0.71331482
98,0.642346,0.710873258
99,0.6375999,0.708177555
100,0.6321191,0.703181011
101,0.6251178,0.700633017
102,0.6167565,0.697912551
103,0.6009574,0.698017189
104,0.6608977,0.713520848
105,0.6330729,0.703351444
106,0.6132342,0.695224103
107,0.6040627,0.692627679
108,0.59875,0.690262551
109,0.5926359,0.685470707
110,0.5955474,0.685161218
111,0.5826785,0.682597877
112,0.5738501,0.679905856
113,0.5671924,0.674915763
114,0.5755964,0.677335296
115,0.5696282,0.674954384
116,0.5588476,0.672251161
117,0.5488958,0.669816354
118,0.548193,0.66725865
119,0.5504991,0.664886797
120,0.5532663,0.680064369
121,0.612088,0.69037529
122,0.5756936,0.677390831
123,0.5562205,0.672254954
124,0.5468781,0.666874692
125,0.5389376,0.664505716
126,0.5325065,0.662008072
127,0.5264477,0.656897175
128,0.518383,0.654061175
129,0.5047864,0.651454768
130,0.5049519,0.649316727
131,0.5027497,0.649142963
132,0.4973879,0.646403101
133,0.493143,0.64898451
134,0.5539365,0.662019354
135,0.5270245,0.651495267
136,0.5035734,0.64368618
137,0.4902411,0.6412775
138,0.4906599,0.638914252
139,0.4935754,0.638830502
140,0.4810563,0.63355911
141,0.4657115,0.628521314
142,0.4606376,0.628499087
143,0.4640672,0.625958449
144,0.46206,0.626002978
145,0.4450819,0.620911218
146,0.4385534,0.618146775
147,0.432591,0.615750365
148,0.4412331,0.615736346
149,0.4321154,0.613209082
150,0.4069048,0.615836623
151,0.5025953,0.633705624
152,0.4588996,0.62080129
153,0.4418073,0.613154386
154,0.4258826,0.60536409
155,0.4186191,0.602904291
156,0.4107026,0.600263938
157,0.4046293,0.595037739
158,0.3989885,0.592342018
159,0.3943488,0.590021838
160,0.3840816,0.584959667
161,0.3824589,0.582301067
162,0.378714,0.579594602
163,0.3702048,0.577100963
164,0.3364871,0.566892852
165,0.3583975,0.572092296
166,0.3567108,0.569339209
167,0.3590003,0.577287468
168,0.4316347,0.582544752
